experimento,tempo,consumo_cpu
19,3.0,151.0
19,3.5,125.0
19,4.0,129.0
19,4.5,60.7
19,5.0,133.0
19,5.5,171.0
19,6.0,139.0
19,6.5,148.0
19,7.0,62.9
19,7.5,153.0
19,8.0,210.0
19,8.5,135.0
19,9.0,118.0
19,9.5,85.7
19,10.0,92.5
19,10.5,182.0
19,11.0,155.0
19,11.5,203.0
19,12.0,85.7
19,12.5,125.0
19,13.0,188.0
19,13.5,146.0
19,14.0,103.0
19,14.5,100.0
19,15.0,125.0
19,15.5,114.0
19,16.0,159.0
19,16.5,118.0
19,17.0,122.0
19,17.5,137.0
19,18.0,155.0
19,18.5,153.0
19,19.0,92.8
19,19.5,107.0
19,20.0,148.0
19,20.5,144.0
19,21.0,211.0
19,21.5,71.4
19,22.0,121.0
19,22.5,155.0
19,23.0,148.0
19,23.5,162.0
19,24.0,77.7
19,24.5,137.0
19,25.0,181.0
19,25.5,129.0
19,26.0,211.0
19,26.5,88.8
19,27.0,114.0
19,27.5,185.0
19,28.0,153.0
19,28.5,118.0
19,29.0,110.0
19,29.5,132.0
19,30.0,155.0
20,0.5,232.0
20,1.0,162.0
20,1.5,103.0
20,2.0,142.0
20,2.5,129.0
20,3.0,178.0
20,3.5,107.0
20,4.0,81.4
20,4.5,146.0
20,5.0,133.0
20,5.5,214.0
20,6.0,113.0
20,6.5,74.0
20,7.0,178.0
20,7.5,144.0
20,8.0,181.0
20,8.5,122.0
20,9.0,70.3
20,9.5,174.0
20,10.0,142.0
20,10.5,222.0
20,11.0,159.0
20,11.5,70.3
20,12.0,162.0
20,12.5,133.0
20,13.0,151.0
20,13.5,121.0
20,14.0,60.7
20,14.5,111.0
20,15.0,160.0
20,15.5,181.0
20,16.0,167.0
20,16.5,48.1
20,17.0,159.0
20,17.5,203.0
20,18.0,139.0
20,18.5,107.0
20,19.0,89.2
20,19.5,133.0
20,20.0,192.0
20,20.5,118.0
20,21.0,181.0
20,21.5,92.8
20,22.0,125.0
20,22.5,200.0
20,23.0,118.0
20,23.5,78.5
20,24.0,118.0
20,24.5,144.0
20,25.0,162.0
20,25.5,188.0
20,26.0,142.0
20,26.5,103.0
20,27.0,129.0
20,27.5,144.0
20,28.0,139.0
20,28.5,64.2
20,29.0,118.0
20,29.5,125.0
20,30.0,159.0
21,0.5,203.0
21,1.0,70.3
21,1.5,153.0
21,2.0,185.0
21,2.5,142.0
21,3.0,125.0
21,3.5,81.4
21,4.0,110.0
21,4.5,200.0
21,5.0,166.0
21,5.5,188.0
21,6.0,96.4
21,6.5,155.0
21,7.0,188.0
21,7.5,137.0
21,8.0,114.0
21,8.5,100.0
21,9.0,140.0
21,9.5,155.0
21,10.0,181.0
21,10.5,159.0
21,11.0,92.5
21,11.5,160.0
21,12.0,159.0
21,12.5,170.0
21,13.0,92.8
21,13.5,88.8
21,14.0,137.0
21,14.5,133.0
21,15.0,159.0
21,15.5,77.7
21,16.0,107.0
21,16.5,144.0
21,17.0,100.0
21,17.5,144.0
21,18.0,67.8
21,18.5,103.0
21,19.0,221.0
21,19.5,121.0
21,20.0,237.0
21,20.5,92.8
21,21.0,140.0
21,21.5,207.0
21,22.0,133.0
21,22.5,103.0
21,23.0,107.0
21,23.5,117.0
21,24.0,174.0
21,24.5,132.0
21,25.0,159.0
21,25.5,110.0
21,26.0,140.0
21,26.5,170.0
21,27.0,162.0
21,27.5,85.7
21,28.0,118.0
21,28.5,137.0
21,29.0,148.0
21,29.5,174.0
21,30.0,78.5
22,0.5,114.0
22,1.0,185.0
22,1.5,177.0
22,2.0,166.0
22,2.5,75.0
